pre,temp,sault,density
4.2,19.884,34.789,24.63148464
9.3,19.881,34.789,24.63251684
14,19.886,34.789,24.63143136
19.4,19.887,34.79,24.63219179
24,19.887,34.79,24.63241318
28.9,19.887,34.789,24.63188611
33.8,19.891,34.79,24.63183579
39.1,19.89,34.79,24.63235334
44.2,19.891,34.789,24.6315738
48.8,19.891,34.79,24.63255836
54.5,19.89,34.79,24.63309525
59.6,19.892,34.79,24.6328166
64.8,19.89,34.791,24.63435461
68.9,19.891,34.79,24.63352714
74.1,19.887,34.791,24.63558944
79,19.882,34.794,24.63942507
89.1,19.822,34.801,24.66096131
99.1,19.809,34.803,24.66636693
109.4,19.788,34.806,24.67463799
119.3,19.763,34.81,24.68469231
129.1,19.726,34.814,24.69786371
139.2,19.252,34.834,24.83620208
148.9,18.635,34.849,25.00481779
159.3,18.383,34.84,25.06144695
169.1,18.18,34.828,25.10307318
179.5,17.889,34.815,25.16515253
189.2,17.825,34.809,25.17660592
199.1,17.652,34.791,25.20532247
209,17.484,34.785,25.24175395
219,17.411,34.787,25.26126786
229.3,17.351,34.788,25.27685902
239,17.307,34.795,25.29316444
249,17.27,34.797,25.30395388
259.2,17.25,34.799,25.31067783
268.8,17.223,34.806,25.32288051
279.1,17.178,34.804,25.33248638
289.2,17.109,34.797,25.34392946
298.9,17.032,34.789,25.35643612
308.9,16.902,34.772,25.37448518
319.4,16.825,34.763,25.38609746
329,16.746,34.757,25.400388
339.3,16.64,34.747,25.4178691
349.5,16.439,34.724,25.4472583
359.2,16.25,34.706,25.47733152
369.3,16.125,34.693,25.49632646
379.3,15.891,34.671,25.53294785
389.2,15.681,34.655,25.56828126
399.5,15.433,34.631,25.60548152
429,14.531,34.563,25.75037466
458.7,13.802,34.512,25.86493965
489.4,12.951,34.454,25.99309914
519.2,12.236,34.409,26.09816593
548.9,11.612,34.369,26.18512892
578.8,11.039,34.332,26.26128155
609.1,10.166,34.279,26.37296468
639.2,9.394,34.246,26.4759002
669.1,8.214,34.125,26.56514681
699.2,7.448,34.074,26.63653392
729.5,7.053,34.138,26.74209171
758.9,6.386,34.088,26.79152112
789.4,5.917,34.076,26.84157552
819.3,5.785,34.101,26.87789102
849.4,5.671,34.178,26.95299651
879.3,5.402,34.182,26.98856988
909,4.87,34.162,27.0339625
939.4,4.781,34.21,27.0822271
969.2,4.734,34.229,27.1027776
999.4,4.684,34.293,27.1593681
1099.4,3.882,34.302,27.25133443
1199.4,3.364,34.341,27.33328472
1299.3,3.107,34.384,27.39197698
1399.3,2.858,34.413,27.4379722
4.1,14.831,34.378,25.52933263
9.5,14.836,34.379,25.52919265
14.5,14.837,34.379,25.52913701
19.3,14.833,34.378,25.52938914
24,14.847,34.377,25.52573025
29.4,14.853,34.378,25.52537305
34.3,14.841,34.376,25.52659495
39.2,14.804,34.372,25.53169348
44.1,14.859,34.378,25.52454594
49,14.789,34.369,25.53294492
53.9,14.803,34.369,25.53007046
59.3,14.773,34.364,25.53288316
63.9,14.713,34.357,25.54059503
68.9,14.687,34.35,25.54096123
74.5,14.601,34.337,25.54960644
79.4,14.456,34.316,25.56457839
89.4,14.207,34.362,25.65322913
99.1,12.797,34.058,25.70597036
108.9,12.847,34.096,25.72581901
119,12.893,34.123,25.73791644
129.3,12.883,34.124,25.74094758
139.1,12.848,34.128,25.75122907
149,12.775,34.12,25.75968318
159.2,12.694,34.124,25.77895858
169.2,12.668,34.122,25.78276304
178.8,12.595,34.107,25.78563982
189,12.239,34.041,25.80343666
199.2,11.935,34.014,25.84040626
209.4,11.378,33.967,25.90737572
219.5,11.035,33.95,25.95639362
229.2,10.378,33.868,26.00809866
239.4,10.59,33.996,26.07135936
249.1,10.332,33.989,26.11081008
259.4,10.144,33.983,26.13847942
268.8,10.283,34.106,26.2109173
